"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "YAML", "vue", "CSS", "XML", "comment", "blank", "total"
"d:\Desktop\Temp\container\README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 12, 30
"d:\Desktop\Temp\container\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Desktop\Temp\container\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Desktop\Temp\container\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 907, 0, 0, 0, 0, 124, 1031
"d:\Desktop\Temp\container\src\App.vue", "vue", 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\Desktop\Temp\container\src\assets\default.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Desktop\Temp\container\src\assets\json\config.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Desktop\Temp\container\src\assets\json\fr-10001.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"d:\Desktop\Temp\container\src\assets\json\main.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 53
"d:\Desktop\Temp\container\src\assets\style.css", "CSS", 0, 0, 0, 0, 0, 0, 442, 0, 10, 91, 543
"d:\Desktop\Temp\container\src\components\ConfigSet.vue", "vue", 0, 0, 0, 0, 0, 178, 0, 0, 0, 22, 200
"d:\Desktop\Temp\container\src\components\FriendLists.vue", "vue", 0, 0, 0, 0, 0, 78, 0, 0, 0, 5, 83
"d:\Desktop\Temp\container\src\components\SideBar.vue", "vue", 0, 0, 0, 0, 0, 101, 0, 0, 0, 4, 105
"d:\Desktop\Temp\container\src\main.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\Desktop\Temp\container\src\router\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 3, 24
"d:\Desktop\Temp\container\src\scripts\chat.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 60
"d:\Desktop\Temp\container\src\scripts\friends.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 6, 8, 63
"d:\Desktop\Temp\container\src\scripts\function.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 2, 6, 24
"d:\Desktop\Temp\container\src\scripts\middleware.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 0, 4, 15, 154
"d:\Desktop\Temp\container\src\scripts\stroge.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 2, 7, 44
"d:\Desktop\Temp\container\src\stores\contactor.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Desktop\Temp\container\src\stores\counter.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Desktop\Temp\container\src\views\ChatWindow.vue", "vue", 0, 0, 0, 0, 0, 230, 0, 0, 0, 4, 234
"d:\Desktop\Temp\container\src\views\SettingWindow.vue", "vue", 0, 0, 0, 0, 0, 160, 0, 0, 0, 18, 178
"d:\Desktop\Temp\container\vite.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 3, 23
"Total", "-", 13, 103, 356, 18, 907, 764, 442, 1, 28, 344, 2976